nameFirst,nameLast,tname
Ed,Curtis,Altoona Mountain City
Joe,Maddon,Anaheim Angels
Terry,Collins,Anaheim Angels
Mike,Scioscia,Anaheim Angels
Bob,Brenly,Arizona Diamondbacks
Buck,Showalter,Arizona Diamondbacks
Kirk,Gibson,Arizona Diamondbacks
Al,Pedrique,Arizona Diamondbacks
A. J.,Hinch,Arizona Diamondbacks
Bob,Melvin,Arizona Diamondbacks
Alan,Trammell,Arizona Diamondbacks
Chip,Hale,Arizona Diamondbacks
Billy,Hitchcock,Atlanta Braves
Eddie,Mathews,Atlanta Braves
Lum,Harris,Atlanta Braves
Ken,Silvestri,Atlanta Braves
Bobby,Bragan,Atlanta Braves
Dave,Bristol,Atlanta Braves
Clyde,King,Atlanta Braves
Bobby,Cox,Atlanta Braves
Connie,Ryan,Atlanta Braves
Ted,Turner,Atlanta Braves
Vern,Benson,Atlanta Braves
Chuck,Tanner,Atlanta Braves
Eddie,Haas,Atlanta Braves
Bobby,Wine,Atlanta Braves
Joe,Torre,Atlanta Braves
Russ,Nixon,Atlanta Braves
Brian,Snitker,Atlanta Braves
Fredi,Gonzalez,Atlanta Braves
Bill,Henderson,Baltimore Monumentals
John,Waltz,Baltimore Orioles
Ned,Hanlon,Baltimore Orioles
Jimmy,Dykes,Baltimore Orioles
Paul,Richards,Baltimore Orioles
Lum,Harris,Baltimore Orioles
Hank,Bauer,Baltimore Orioles
Billy,Hitchcock,Baltimore Orioles
Earl,Weaver,Baltimore Orioles
Joe,Altobelli,Baltimore Orioles
Cal,Ripken,Baltimore Orioles
Frank,Robinson,Baltimore Orioles
Johnny,Oates,Baltimore Orioles
Davey,Johnson,Baltimore Orioles
Ray,Miller,Baltimore Orioles
Phil,Regan,Baltimore Orioles
Mike,Hargrove,Baltimore Orioles
Lee,Mazzilli,Baltimore Orioles
Dave,Trembley,Baltimore Orioles
Billy,Barnie,Baltimore Orioles
Sam,Perlozzo,Baltimore Orioles
Juan,Samuel,Baltimore Orioles
Buck,Showalter,Baltimore Orioles
Fred,Lake,Boston Americans
Patsy,Donovan,Boston Americans
George,Huff,Boston Americans
Ed,Barrow,Boston Americans
Bill,Carrigan,Boston Americans
Frank,Chance,Boston Americans
Hugh,Duffy,Boston Americans
Lee,Fohl,Boston Americans
Bucky,Harris,Boston Americans
Shano,Collins,Boston Americans
Heinie,Wagner,Boston Americans
Joe,McCarthy,Boston Americans
Steve,O'Neill,Boston Americans
Joe,Cronin,Boston Americans
Rudy,York,Boston Americans
Billy,Jurges,Boston Americans
Pinky,Higgins,Boston Americans
Lou,Boudreau,Boston Americans
Johnny,Pesky,Boston Americans
Del,Baker,Boston Americans
Billy,Herman,Boston Americans
Eddie,Kasko,Boston Americans
Dick,Williams,Boston Americans
Eddie,Popowski,Boston Americans
Pete,Runnels,Boston Americans
Don,Zimmer,Boston Americans
Darrell,Johnson,Boston Americans
Ralph,Houk,Boston Americans
John,McNamara,Boston Americans
Joe,Morgan,Boston Americans
Butch,Hobson,Boston Americans
Joe,Kerrigan,Boston Americans
Kevin,Kennedy,Boston Americans
Jimy,Williams,Boston Americans
Grady,Little,Boston Americans
Terry,Francona,Boston Americans
John,Farrell,Boston Americans
Bobby,Valentine,Boston Americans
Frank,Selee,Boston Beaneaters
Al,Buckenberger,Boston Beaneaters
George,Stallings,Boston Beaneaters
Judge,Fuchs,Boston Beaneaters
Fred,Mitchell,Boston Beaneaters
Jack,Slattery,Boston Beaneaters
Bill,McKechnie,Boston Beaneaters
Casey,Stengel,Boston Beaneaters
Billy,Southworth,Boston Beaneaters
Johnny,Cooney,Boston Beaneaters
Bob,Coleman,Boston Beaneaters
Del,Bissonette,Boston Beaneaters
Tommy,Holmes,Boston Beaneaters
Charlie,Grimm,Boston Beaneaters
Jim,Hart,Boston Beaneaters
Harry,Wright,Boston Beaneaters
Frank,Selee,Boston Bees
Al,Buckenberger,Boston Bees
George,Stallings,Boston Bees
Fred,Mitchell,Boston Bees
Jack,Slattery,Boston Bees
Bill,McKechnie,Boston Bees
Judge,Fuchs,Boston Bees
Casey,Stengel,Boston Bees
Billy,Southworth,Boston Bees
Johnny,Cooney,Boston Bees
Bob,Coleman,Boston Bees
Del,Bissonette,Boston Bees
Tommy,Holmes,Boston Bees
Charlie,Grimm,Boston Bees
Harry,Wright,Boston Bees
Jim,Hart,Boston Bees
Frank,Selee,Boston Braves
Al,Buckenberger,Boston Braves
George,Stallings,Boston Braves
Fred,Mitchell,Boston Braves
Jack,Slattery,Boston Braves
Bill,McKechnie,Boston Braves
Judge,Fuchs,Boston Braves
Casey,Stengel,Boston Braves
Billy,Southworth,Boston Braves
Johnny,Cooney,Boston Braves
Bob,Coleman,Boston Braves
Del,Bissonette,Boston Braves
Tommy,Holmes,Boston Braves
Charlie,Grimm,Boston Braves
Harry,Wright,Boston Braves
Jim,Hart,Boston Braves
Frank,Selee,Boston Doves
Al,Buckenberger,Boston Doves
George,Stallings,Boston Doves
Jack,Slattery,Boston Doves
Judge,Fuchs,Boston Doves
Fred,Mitchell,Boston Doves
Bill,McKechnie,Boston Doves
Casey,Stengel,Boston Doves
Billy,Southworth,Boston Doves
Johnny,Cooney,Boston Doves
Bob,Coleman,Boston Doves
Del,Bissonette,Boston Doves
Tommy,Holmes,Boston Doves
Charlie,Grimm,Boston Doves
Jim,Hart,Boston Doves
Harry,Wright,Boston Doves
Frank,Selee,Boston Red Caps
Al,Buckenberger,Boston Red Caps
George,Stallings,Boston Red Caps
Judge,Fuchs,Boston Red Caps
Fred,Mitchell,Boston Red Caps
Jack,Slattery,Boston Red Caps
Bill,McKechnie,Boston Red Caps
Casey,Stengel,Boston Red Caps
Johnny,Cooney,Boston Red Caps
Bob,Coleman,Boston Red Caps
Del,Bissonette,Boston Red Caps
Billy,Southworth,Boston Red Caps
Tommy,Holmes,Boston Red Caps
Charlie,Grimm,Boston Red Caps
Jim,Hart,Boston Red Caps
Harry,Wright,Boston Red Caps
Fred,Lake,Boston Red Sox
Patsy,Donovan,Boston Red Sox
George,Huff,Boston Red Sox
Ed,Barrow,Boston Red Sox
Bill,Carrigan,Boston Red Sox
Frank,Chance,Boston Red Sox
Hugh,Duffy,Boston Red Sox
Lee,Fohl,Boston Red Sox
Bucky,Harris,Boston Red Sox
Shano,Collins,Boston Red Sox
Heinie,Wagner,Boston Red Sox
Joe,McCarthy,Boston Red Sox
Joe,Cronin,Boston Red Sox
Rudy,York,Boston Red Sox
Billy,Jurges,Boston Red Sox
Steve,O'Neill,Boston Red Sox
Pinky,Higgins,Boston Red Sox
Lou,Boudreau,Boston Red Sox
Johnny,Pesky,Boston Red Sox
Del,Baker,Boston Red Sox
Billy,Herman,Boston Red Sox
Eddie,Kasko,Boston Red Sox
Dick,Williams,Boston Red Sox
Eddie,Popowski,Boston Red Sox
Pete,Runnels,Boston Red Sox
Don,Zimmer,Boston Red Sox
Darrell,Johnson,Boston Red Sox
Ralph,Houk,Boston Red Sox
John,McNamara,Boston Red Sox
Joe,Morgan,Boston Red Sox
Butch,Hobson,Boston Red Sox
Joe,Kerrigan,Boston Red Sox
Kevin,Kennedy,Boston Red Sox
Jimy,Williams,Boston Red Sox
Grady,Little,Boston Red Sox
Terry,Francona,Boston Red Sox
Bobby,Valentine,Boston Red Sox
John,Farrell,Boston Red Sox
Frank,Selee,Boston Rustlers
Al,Buckenberger,Boston Rustlers
George,Stallings,Boston Rustlers
Fred,Mitchell,Boston Rustlers
Jack,Slattery,Boston Rustlers
Bill,McKechnie,Boston Rustlers
Judge,Fuchs,Boston Rustlers
Casey,Stengel,Boston Rustlers
Billy,Southworth,Boston Rustlers
Johnny,Cooney,Boston Rustlers
Bob,Coleman,Boston Rustlers
Del,Bissonette,Boston Rustlers
Tommy,Holmes,Boston Rustlers
Charlie,Grimm,Boston Rustlers
Harry,Wright,Boston Rustlers
Jim,Hart,Boston Rustlers
George,Taylor,Brooklyn Atlantics
Charlie,Hackett,Brooklyn Atlantics
Bill,McGunnigle,Brooklyn Atlantics
Charlie,Byrne,Brooklyn Atlantics
Billy,Barnie,Brooklyn Bridegrooms
Ned,Hanlon,Brooklyn Bridegrooms
Charlie,Ebbets,Brooklyn Bridegrooms
Bill,Dahlen,Brooklyn Bridegrooms
Patsy,Donovan,Brooklyn Bridegrooms
Wilbert,Robinson,Brooklyn Bridegrooms
Casey,Stengel,Brooklyn Bridegrooms
Max,Carey,Brooklyn Bridegrooms
Burleigh,Grimes,Brooklyn Bridegrooms
Ray,Blades,Brooklyn Bridegrooms
Clyde,Sukeforth,Brooklyn Bridegrooms
Burt,Shotton,Brooklyn Bridegrooms
Leo,Durocher,Brooklyn Bridegrooms
Walter,Alston,Brooklyn Bridegrooms
Chuck,Dressen,Brooklyn Bridegrooms
George,Taylor,Brooklyn Bridegrooms
Charlie,Hackett,Brooklyn Bridegrooms
Bill,McGunnigle,Brooklyn Bridegrooms
Charlie,Byrne,Brooklyn Bridegrooms
Billy,Barnie,Brooklyn Dodgers
Ned,Hanlon,Brooklyn Dodgers
Charlie,Ebbets,Brooklyn Dodgers
Bill,McGunnigle,Brooklyn Dodgers
Bill,Dahlen,Brooklyn Dodgers
Patsy,Donovan,Brooklyn Dodgers
Wilbert,Robinson,Brooklyn Dodgers
Casey,Stengel,Brooklyn Dodgers
Max,Carey,Brooklyn Dodgers
Burleigh,Grimes,Brooklyn Dodgers
Ray,Blades,Brooklyn Dodgers
Clyde,Sukeforth,Brooklyn Dodgers
Burt,Shotton,Brooklyn Dodgers
Leo,Durocher,Brooklyn Dodgers
Walter,Alston,Brooklyn Dodgers
Chuck,Dressen,Brooklyn Dodgers
Jim,Kennedy,Brooklyn Gladiators
George,Taylor,Brooklyn Grays
Charlie,Hackett,Brooklyn Grays
Bill,McGunnigle,Brooklyn Grays
Charlie,Byrne,Brooklyn Grays
Billy,Barnie,Brooklyn Grooms
Ned,Hanlon,Brooklyn Grooms
Charlie,Ebbets,Brooklyn Grooms
Bill,McGunnigle,Brooklyn Grooms
Bill,Dahlen,Brooklyn Grooms
Patsy,Donovan,Brooklyn Grooms
Wilbert,Robinson,Brooklyn Grooms
Casey,Stengel,Brooklyn Grooms
Max,Carey,Brooklyn Grooms
Burleigh,Grimes,Brooklyn Grooms
Ray,Blades,Brooklyn Grooms
Clyde,Sukeforth,Brooklyn Grooms
Burt,Shotton,Brooklyn Grooms
Leo,Durocher,Brooklyn Grooms
Walter,Alston,Brooklyn Grooms
Chuck,Dressen,Brooklyn Grooms
Billy,Barnie,Brooklyn Robins
Ned,Hanlon,Brooklyn Robins
Charlie,Ebbets,Brooklyn Robins
Bill,McGunnigle,Brooklyn Robins
Bill,Dahlen,Brooklyn Robins
Patsy,Donovan,Brooklyn Robins
Wilbert,Robinson,Brooklyn Robins
Burleigh,Grimes,Brooklyn Robins
Casey,Stengel,Brooklyn Robins
Max,Carey,Brooklyn Robins
Ray,Blades,Brooklyn Robins
Clyde,Sukeforth,Brooklyn Robins
Burt,Shotton,Brooklyn Robins
Leo,Durocher,Brooklyn Robins
Walter,Alston,Brooklyn Robins
Chuck,Dressen,Brooklyn Robins
Billy,Barnie,Brooklyn Superbas
Ned,Hanlon,Brooklyn Superbas
Charlie,Ebbets,Brooklyn Superbas
Bill,McGunnigle,Brooklyn Superbas
Bill,Dahlen,Brooklyn Superbas
Patsy,Donovan,Brooklyn Superbas
Wilbert,Robinson,Brooklyn Superbas
Casey,Stengel,Brooklyn Superbas
Max,Carey,Brooklyn Superbas
Burleigh,Grimes,Brooklyn Superbas
Ray,Blades,Brooklyn Superbas
Clyde,Sukeforth,Brooklyn Superbas
Burt,Shotton,Brooklyn Superbas
Leo,Durocher,Brooklyn Superbas
Walter,Alston,Brooklyn Superbas
Chuck,Dressen,Brooklyn Superbas
John,Ganzel,Brooklyn Tip-Tops
Jack,Chapman,Buffalo Bisons
Larry,Schlafly,Buffalo Blues
Larry,Schlafly,Buffalo Buffeds
Bill,Rigney,California Angels
Lefty,Phillips,California Angels
Del,Rice,California Angels
Dick,Williams,California Angels
Dave,Garcia,California Angels
Jim,Fregosi,California Angels
Bobby,Winkles,California Angels
Norm,Sherry,California Angels
Whitey,Herzog,California Angels
Gene,Mauch,California Angels
John,McNamara,California Angels
Cookie,Rojas,California Angels
Moose,Stubing,California Angels
John,Wathan,California Angels
Doug,Rader,California Angels
Buck,Rodgers,California Angels
Joe,Maddon,California Angels
Marcel,Lachemann,California Angels
Tom,Loftus,Chicago Colts
Tom,Burns,Chicago Colts
Frank,Selee,Chicago Colts
Hank,O'Day,Chicago Colts
Johnny,Evers,Chicago Colts
George,Gibson,Chicago Colts
Joe,McCarthy,Chicago Colts
Bill,Killefer,Chicago Colts
Fred,Mitchell,Chicago Colts
Charlie,Grimm,Chicago Colts
Frankie,Frisch,Chicago Colts
Roy,Johnson,Chicago Colts
Jimmie,Wilson,Chicago Colts
Stan,Hack,Chicago Colts
Bob,Scheffing,Chicago Colts
Charlie,Metro,Chicago Colts
Lou,Boudreau,Chicago Colts
Vedie,Himsl,Chicago Colts
Harry,Craft,Chicago Colts
El,Tappe,Chicago Colts
Lou,Klein,Chicago Colts
Bob,Kennedy,Chicago Colts
Leo,Durocher,Chicago Colts
Whitey,Lockman,Chicago Colts
Jim,Marshall,Chicago Colts
Joey,Amalfitano,Chicago Colts
Herman,Franks,Chicago Colts
John,Vukovich,Chicago Colts
Gene,Michael,Chicago Colts
Charlie,Fox,Chicago Colts
Lee,Elia,Chicago Colts
Preston,Gomez,Chicago Colts
Jim,Frey,Chicago Colts
Joe,Altobelli,Chicago Colts
Jim,Essian,Chicago Colts
Don,Zimmer,Chicago Colts
Frank,Lucchesi,Chicago Colts
Jim,Lefebvre,Chicago Colts
Don,Baylor,Chicago Colts
Rene,Lachemann,Chicago Colts
Tom,Trebelhorn,Chicago Colts
Jim,Riggleman,Chicago Colts
Dusty,Baker,Chicago Colts
Mike,Quade,Chicago Colts
Bruce,Kimm,Chicago Colts
Lou,Piniella,Chicago Colts
Rich,Renteria,Chicago Colts
Dale,Sveum,Chicago Colts
Joe,Maddon,Chicago Colts
Tom,Loftus,Chicago Cubs
Tom,Burns,Chicago Cubs
Frank,Selee,Chicago Cubs
Hank,O'Day,Chicago Cubs
Johnny,Evers,Chicago Cubs
George,Gibson,Chicago Cubs
Joe,McCarthy,Chicago Cubs
Bill,Killefer,Chicago Cubs
Fred,Mitchell,Chicago Cubs
Charlie,Grimm,Chicago Cubs
Frankie,Frisch,Chicago Cubs
Roy,Johnson,Chicago Cubs
Jimmie,Wilson,Chicago Cubs
Stan,Hack,Chicago Cubs
Bob,Scheffing,Chicago Cubs
Charlie,Metro,Chicago Cubs
Lou,Boudreau,Chicago Cubs
Vedie,Himsl,Chicago Cubs
Harry,Craft,Chicago Cubs
El,Tappe,Chicago Cubs
Lou,Klein,Chicago Cubs
Bob,Kennedy,Chicago Cubs
Leo,Durocher,Chicago Cubs
Whitey,Lockman,Chicago Cubs
Jim,Marshall,Chicago Cubs
Joey,Amalfitano,Chicago Cubs
Herman,Franks,Chicago Cubs
Jim,Frey,Chicago Cubs
John,Vukovich,Chicago Cubs
Gene,Michael,Chicago Cubs
Charlie,Fox,Chicago Cubs
Lee,Elia,Chicago Cubs
Preston,Gomez,Chicago Cubs
Joe,Altobelli,Chicago Cubs
Jim,Essian,Chicago Cubs
Don,Zimmer,Chicago Cubs
Frank,Lucchesi,Chicago Cubs
Jim,Lefebvre,Chicago Cubs
Jim,Riggleman,Chicago Cubs
Don,Baylor,Chicago Cubs
Tom,Trebelhorn,Chicago Cubs
Dusty,Baker,Chicago Cubs
Rene,Lachemann,Chicago Cubs
Bruce,Kimm,Chicago Cubs
Lou,Piniella,Chicago Cubs
Rich,Renteria,Chicago Cubs
Mike,Quade,Chicago Cubs
Dale,Sveum,Chicago Cubs
Joe,Maddon,Chicago Cubs
Tom,Loftus,Chicago Orphans
Tom,Burns,Chicago Orphans
Frank,Selee,Chicago Orphans
Hank,O'Day,Chicago Orphans
Johnny,Evers,Chicago Orphans
George,Gibson,Chicago Orphans
Joe,McCarthy,Chicago Orphans
Bill,Killefer,Chicago Orphans
Fred,Mitchell,Chicago Orphans
Charlie,Grimm,Chicago Orphans
Frankie,Frisch,Chicago Orphans
Roy,Johnson,Chicago Orphans
Jimmie,Wilson,Chicago Orphans
Stan,Hack,Chicago Orphans
Bob,Scheffing,Chicago Orphans
Charlie,Metro,Chicago Orphans
Lou,Boudreau,Chicago Orphans
Vedie,Himsl,Chicago Orphans
Harry,Craft,Chicago Orphans
El,Tappe,Chicago Orphans
Lou,Klein,Chicago Orphans
Bob,Kennedy,Chicago Orphans
Leo,Durocher,Chicago Orphans
Whitey,Lockman,Chicago Orphans
Jim,Marshall,Chicago Orphans
Joey,Amalfitano,Chicago Orphans
Herman,Franks,Chicago Orphans
John,Vukovich,Chicago Orphans
Gene,Michael,Chicago Orphans
Charlie,Fox,Chicago Orphans
Lee,Elia,Chicago Orphans
Preston,Gomez,Chicago Orphans
Jim,Frey,Chicago Orphans
Joe,Altobelli,Chicago Orphans
Jim,Essian,Chicago Orphans
Don,Zimmer,Chicago Orphans
Frank,Lucchesi,Chicago Orphans
Jim,Lefebvre,Chicago Orphans
Jim,Riggleman,Chicago Orphans
Don,Baylor,Chicago Orphans
Rene,Lachemann,Chicago Orphans
Tom,Trebelhorn,Chicago Orphans
Dusty,Baker,Chicago Orphans
Mike,Quade,Chicago Orphans
Bruce,Kimm,Chicago Orphans
Lou,Piniella,Chicago Orphans
Rich,Renteria,Chicago Orphans
Dale,Sveum,Chicago Orphans
Joe,Maddon,Chicago Orphans
Jimmy,Callahan,Chicago White Sox
Hugh,Duffy,Chicago White Sox
Pants,Rowland,Chicago White Sox
Kid,Gleason,Chicago White Sox
Lena,Blackburne,Chicago White Sox
Johnny,Evers,Chicago White Sox
Ed,Walsh,Chicago White Sox
Lew,Fonseca,Chicago White Sox
Jimmy,Dykes,Chicago White Sox
Donie,Bush,Chicago White Sox
Ted,Lyons,Chicago White Sox
Jack,Onslow,Chicago White Sox
Marty,Marion,Chicago White Sox
Al,Lopez,Chicago White Sox
Red,Corriden,Chicago White Sox
Paul,Richards,Chicago White Sox
Bill,Adair,Chicago White Sox
Chuck,Tanner,Chicago White Sox
Don,Gutteridge,Chicago White Sox
Les,Moss,Chicago White Sox
Eddie,Stanky,Chicago White Sox
Bob,Lemon,Chicago White Sox
Larry,Doby,Chicago White Sox
Tony,LaRussa,Chicago White Sox
Doug,Rader,Chicago White Sox
Jim,Fregosi,Chicago White Sox
Gene,Lamont,Chicago White Sox
Jeff,Torborg,Chicago White Sox
Jerry,Manuel,Chicago White Sox
Terry,Bevington,Chicago White Sox
Ozzie,Guillen,Chicago White Sox
Robin,Ventura,Chicago White Sox
Don,Cooper,Chicago White Sox
Tom,Loftus,Chicago White Stockings
Tom,Burns,Chicago White Stockings
Frank,Selee,Chicago White Stockings
Hank,O'Day,Chicago White Stockings
Johnny,Evers,Chicago White Stockings
George,Gibson,Chicago White Stockings
Joe,McCarthy,Chicago White Stockings
Bill,Killefer,Chicago White Stockings
Fred,Mitchell,Chicago White Stockings
Charlie,Grimm,Chicago White Stockings
Frankie,Frisch,Chicago White Stockings
Roy,Johnson,Chicago White Stockings
Jimmie,Wilson,Chicago White Stockings
Stan,Hack,Chicago White Stockings
Bob,Scheffing,Chicago White Stockings
Charlie,Metro,Chicago White Stockings
Lou,Boudreau,Chicago White Stockings
Vedie,Himsl,Chicago White Stockings
Harry,Craft,Chicago White Stockings
El,Tappe,Chicago White Stockings
Lou,Klein,Chicago White Stockings
Bob,Kennedy,Chicago White Stockings
Leo,Durocher,Chicago White Stockings
Whitey,Lockman,Chicago White Stockings
Jim,Marshall,Chicago White Stockings
Joey,Amalfitano,Chicago White Stockings
Herman,Franks,Chicago White Stockings
John,Vukovich,Chicago White Stockings
Gene,Michael,Chicago White Stockings
Charlie,Fox,Chicago White Stockings
Lee,Elia,Chicago White Stockings
Preston,Gomez,Chicago White Stockings
Jim,Frey,Chicago White Stockings
Joe,Altobelli,Chicago White Stockings
Jim,Essian,Chicago White Stockings
Don,Zimmer,Chicago White Stockings
Frank,Lucchesi,Chicago White Stockings
Jim,Lefebvre,Chicago White Stockings
Don,Baylor,Chicago White Stockings
Rene,Lachemann,Chicago White Stockings
Tom,Trebelhorn,Chicago White Stockings
Jim,Riggleman,Chicago White Stockings
Dusty,Baker,Chicago White Stockings
Mike,Quade,Chicago White Stockings
Bruce,Kimm,Chicago White Stockings
Jimmy,Wood,Chicago White Stockings
Lou,Piniella,Chicago White Stockings
Rich,Renteria,Chicago White Stockings
Dale,Sveum,Chicago White Stockings
Joe,Maddon,Chicago White Stockings
Ed,Hengel,Chicago/Pittsburgh (Union League)
Gus,Schmelz,Cincinnati Red Stockings
Ollie,Caylor,Cincinnati Red Stockings
Tom,Loftus,Cincinnati Redlegs
Buck,Ewing,Cincinnati Redlegs
